0 30.1853 30.9184 29.6066 30.444 
1 33.5352 33.1554 34.9719 36.3442 
2 32.7359 38.2173 32.8051 37.0711 
3 28.6648 29.0165 30.622 34.4207 
4 30.9214 33.7096 34.7858 37.6954 
5 36.2887 32.7872 33.6071 32.6045 
6 32.7871 31.5448 33.9333 35.071 
7 34.3741 34.5224 36.2094 37.473 
8 31.4818 35.4344 35.8552 29.4137 
9 35.7073 33.8932 34.3221 30.8899 
10 29.8765 32.1165 34.8178 35.4463 
11 31.9896 36.0291 35.0296 33.3113 
12 28.9927 35.3945 37.2727 31.2559 
13 36.856 35.5243 34.026 37.818 
14 34.8994 32.1649 31.6608 32.2257 
15 36.444 31.8963 34.6939 31.3071 
16 34.012 31.4458 35.5561 35.704 
17 33.5514 31.6625 35.0963 31.3146 
18 34.6035 32.1899 32.5288 31.2467 
19 32.1232 34.1157 33.2836 34.1049 
20 35.6305 32.4355 31.5056 34.722 
21 32.6501 31.9116 33.9787 33.7334 
22 35.4862 32.5461 37.2073 34.7037 
23 31.6269 30.8576 33.7954 36.4072 
24 34.5084 29.1008 33.3562 36.4782 
25 32.9234 31.5919 38.2805 30.2441 
26 33.738 34.1779 35.7139 31.9459 
27 31.7692 33.8132 32.6701 34.4621 
28 30.9394 37.9982 34.9367 33.7731 
29 31.9918 34.6303 34.2417 34.0054 
30 32.379 33.5177 37.4233 32.3996 
31 35.9002 37.5352 36.4989 34.7404 
32 36.5835 32.8439 37.879 31.5313 
33 34.0151 33.9147 30.3704 36.0225 
34 33.3399 35.3983 35.1914 35.8473 
35 33.1582 30.3397 30.5618 32.0833 
36 32.0004 31.7328 34.1853 36.7245 
37 33.567 34.582 34.3476 34.807 
38 29.0424 32.8593 33.5554 33.6201 
39 35.8629 35.8536 32.684 36.0984 
40 32.5564 35.2559 38.2293 33.1666 
41 35.0196 35.6749 31.2401 30.4472 
42 35.397 34.0205 34.6512 34.7724 
43 32.0599 36.3774 29.923 31.3153 
44 33.5622 35.2466 38.7493 34.0659 
45 38.0091 34.3947 32.3789 32.0127 
46 33.0408 34.9028 35.545 32.8936 
47 37.266 34.5425 27.8702 32.8581 
48 35.8926 29.2646 37.2206 33.3497 
49 35.5146 31.4397 34.2736 34.6605 
50 33.2973 33.3332 33.428 34.6988 
51 32.2288 34.4691 36.1452 38.2389 
52 35.6171 30.3968 37.8703 37.187 
53 34.3552 32.9332 33.1967 29.3397 
54 34.4745 28.6181 34.1278 31.4731 
55 30.48 31.3783 38.3795 36.4817 
56 38.4227 35.5871 33.273 31.783 
57 35.1665 32.5519 33.7548 34.4267 
58 36.208 34.4813 32.2682 35.7067 
59 32.6364 34.759 32.7436 39.5883 
60 28.2277 39.4911 32.8796 35.3375 
61 34.1582 39.4191 35.9479 34.9166 
62 31.2527 36.9384 31.7955 32.1404 
63 37.6351 33.3188 34.651 33.163 
64 30.7144 32.8896 31.1711 35.4557 
65 35.6556 33.0502 27.0889 33.5844 
66 35.3796 31.6697 35.4391 32.4171 
67 35.4677 31.3955 35.9777 36.8892 
68 38.6854 37.4222 31.4293 35.7525 
69 34.4815 32.1816 38.2133 35.0382 
70 32.8162 37.3711 32.2707 34.0241 
71 34.707 32.6814 34.0237 37.3266 
72 28.962 38.1352 37.7737 31.5476 
73 33.0018 34.8242 36.1364 32.2919 
74 36.0227 32.1835 36.5591 34.761 
75 32.399 33.8633 31.893 34.0745 
76 31.1538 36.6961 32.6425 33.9475 
77 36.6554 33.8369 31.7107 37.2962 
78 36.074 30.8828 33.3575 31.8456 
79 37.2265 30.794 33.0789 36.1624 
80 37.9725 32.5281 35.695 33.8111 
81 32.8701 29.6018 33.3547 31.8905 
82 33.6176 30.8395 34.049 33.1888 
83 30.2049 30.1023 34.2892 32.2077 
84 32.077 30.6401 31.6634 35.7648 
85 33.6253 32.599 34.2077 33.3194 
86 31.6378 32.948 32.8649 36.6937 
87 32.3336 35.562 29.979 32.1511 
88 28.2647 28.5098 32.7202 33.2926 
89 32.0913 28.4444 33.2464 36.0663 
90 35.9735 31.2887 34.2901 30.9209 
91 28.8602 33.6582 30.7357 29.9819 
92 33.3876 25.454 27.7537 26.1062 
93 33.2688 35.4359 31.1515 30.7647 
