1 115.91
2 98.855
3 91.7167
4 92.6225
5 92.384
6 92.2283
7 93.7186
8 92.1975
9 94.7622
10 96.923
11 95.5818
12 95.6183
13 95.6677
14 95.6679
15 94.9007
16 95.7363
17 96.7835
18 96.5894
19 97.6737
20 99.1975
21 98.9219
22 98.9109
23 97.8117
24 97.0138
25 96.1712
26 96.3512
27 96.3463
28 96.3143
29 95.8279
30 95.5427
31 96.0403
32 95.4794
33 94.8391
34 94.8862
35 94.63
36 95.2414
37 95.4681
38 96.0926
39 96.5941
40 96.1282
41 95.7183
42 95.8952
43 96.0009
44 96.0332
45 95.8338
46 95.7889
47 95.7677
48 96.0023
49 96.4214
50 96.1156
51 96.351
52 96.5065
53 96.1542
54 96.6089
55 96.1087
56 96.3552
57 96.9372
58 97.1028
59 97.3607
60 97.3382
61 97.5408
62 98.0745
63 98.2856
64 98.5161
65 98.2571
66 98.2159
67 98.0852
68 97.771
69 97.6475
70 97.668
71 98.0668
72 98.2732
73 98.1278
74 98.0343
75 98.0381
76 98.0491
77 97.9936
78 97.9797
79 97.5747
80 97.4786
81 97.5
82 97.4478
83 97.3459
84 97.4438
85 97.5247
86 97.6883
87 97.8761
88 97.4201
89 97.4245
90 97.7996
91 97.9109
92 97.8207
93 97.9339
94 98.0878
95 97.9708
96 98.1556
97 98.2381
98 98.1896
99 98.4892
100 98.5281
